v2Version|v3Version|codegenVersion|timestamp|commit|language|job|spec|generate outcome|build outcome|spec url
2.4.29|3.0.39|v2|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|ruby|ruby|petstore-with-fake-endpoints|error|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.39|v2|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|ruby|ruby|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|ruby|ruby-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|ruby|ruby-v3|petstore3fake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|ruby|ruby-v3|petstore3composed|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3composed.yaml
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|ruby|ruby-v3|petstoreMixed3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-with-npm-es6-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-with-npm-es6-v3|petstore3fake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-with-npm-es6-v3|petstore3composed|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3composed.yaml
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-with-npm-es6-v3|petstoreMixed3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.29|3.0.39|v2|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch|petstore-with-fake-endpoints|error|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.39|v2|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-v3|petstore3fake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-v3|petstore3composed|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3composed.yaml
2.4.29|3.0.39|v3|2023_01_25_10_28_30|83927e1a40cb4a1f50dbc9a2d2aac1a5a9f6443a|typescript-fetch|typescript-fetch-v3|petstoreMixed3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
