v2Version|v3Version|codegenVersion|timestamp|commit|language|job|spec|generate outcome|build outcome|spec url
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|typescript-angularjs|typescript-angularjs|petstore-with-fake-endpoints|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|typescript-angularjs|typescript-angularjs|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|php|php|petstore-with-fake-endpoints|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|php|php|petstore|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|php|php-v3|petstore3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|php|php-v3|petstoreMixed3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|csharp-dotnet2|csharp-dotnet2|petstore-with-fake-endpoints|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|csharp-dotnet2|csharp-dotnet2|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|csharp-dotnet2|csharp-dotnet2-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|csharp-dotnet2|csharp-dotnet2-v3|petstoreMixed3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|python-flask|python-flask-v3|petstore3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|python-flask|python-flask-v3|petstoreMixed3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|python-flask|python-flask|petstore-with-fake-endpoints|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|python-flask|python-flask|petstore|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|jaxrs-cxf|jaxrs-cxf-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|jaxrs-cxf|jaxrs-cxf-v3|petstoreMixed3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|spring|spring-cloud-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|spring|spring-cloud-v3|petstoreMixed3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|spring|spring-delegate|petstore-with-fake-endpoints|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|spring|spring-delegate|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|spring|spring-mvc|petstore-with-fake-endpoints|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.29|3.0.36|v2|2023_01_17_17_04_00|f32cdcfd9fffca9845645a15054886a3f17e966e|spring|spring-mvc|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
